Origin,Destination,Current Mode,Suggested Mode,Current Cost,Optimal Cost,Savings (%),Number of Shipments
GHA,ESP,Air,Sea,3046.230708767655,550.7849850078703,81.91913096330484,171
ZWE,CHL,Air,Sea,30069.65445707589,5445.3168911752755,81.89098947263126,19
GMB,MRT,Road,Sea,3430.45392535689,626.734686591436,81.73026951451526,19
MDG,UGA,Air,Sea,5627.7300153054475,1030.2197741199068,81.69386642006509,19
GIN,BOL,Air,Sea,14747.237378694037,2699.70396371354,81.69349353788854,19
MUS,ETH,Air,Sea,15020.311020789579,2750.2128218779776,81.690040784965,19
DZA,MLT,Air,Road,2372.7723547960745,435.50931972074153,81.64554982105854,38
ESH,CPV,Air,Sea,4587.690055235356,842.336659295522,81.63919861294315,19
CPV,CHL,Air,Sea,13435.558380246866,2469.0347330196573,81.62313271140509,19
MAR,CYP,Air,Road,5375.857545015598,989.1907108722417,81.59938758441614,38
RWA,MUS,Air,Sea,15568.07127406013,2873.843434130793,81.54014467470189,19
MDG,IRL,Air,Sea,12771.127077470133,2360.05045615433,81.52042148012329,19
MDG,DNK,Air,Sea,15236.6536554056,2816.447787724553,81.51531267021124,19
ZMB,DOM,Air,Sea,18755.721119499976,3480.2747456245015,81.4441965550121,19
MDG,ZAF,Air,Sea,4475.926764203895,831.1041731095958,81.43168517062591,76
EGY,JPN,Air,Sea,6204.505906591689,1154.5168289772193,81.39228415028735,114
TZA,JPN,Air,Sea,15874.440203627355,2957.7432511913526,81.36788942947733,114
MOZ,BOL,Air,Sea,15104.8118045175,2816.8149318374053,81.35153904403522,19
MRT,PRT,Air,Sea,4339.758732041455,810.9582765115359,81.31328659991992,19
COD,ARG,Air,Sea,14695.750168886081,2754.655320458164,81.25542902675133,57
ETH,MDG,Air,Sea,6895.0614874432695,1294.9070453650895,81.21978973322761,19
STP,BIH,Air,Sea,21572.40077071531,4071.260401663508,81.12745797310481,19
BDI,MDG,Air,Sea,6373.780155226072,1203.6773700342583,81.1151727747101,19
MLI,DOM,Air,Sea,17309.913220025897,3269.738208516126,81.1106031153677,19
MOZ,CHE,Air,Rail,7516.875294659656,1422.2572378637553,81.07914283380231,19
ZWE,STP,Air,Sea,9311.548622287135,1761.845339731756,81.07892240915984,19
DZA,IDN,Air,Road,11488.448155310145,2175.188933736729,81.06629455666454,304
BWA,JPN,Air,Sea,21543.50268175908,4080.2218598791665,81.06054563107838,114
SYC,ARM,Air,Sea,19082.817809942226,3615.0622264839008,81.05593072004052,19
CPV,ESH,Air,Sea,4487.124757088542,850.4558418128668,81.04675292414463,19
COM,USA,Air,Sea,50578.98077036651,9607.032561466007,81.00587948760204,475
COD,USA,Air,Sea,9469.189524917894,1798.8246743101179,81.00339348392421,475
GIN,SYC,Air,Sea,27625.067660566314,5250.225035139728,80.9947070550194,19
ETH,JPN,Air,Sea,12807.096223788887,2435.95587419195,80.9796394777825,114
KEN,ARG,Air,Sea,12535.164167531731,2387.759669682635,80.95150858999239,114
STP,THA,Air,Sea,16671.628052281227,3177.347300455412,80.94158956466974,19
UGA,CPV,Air,Sea,11280.734184417139,2152.9708041147273,80.91462161134179,19
TCD,USA,Air,Sea,8538.80927503057,1635.3839800350972,80.84763428529392,475
KEN,ECU,Air,Sea,19242.474505606162,3686.5868646261697,80.84140964535456,76
CPV,AUT,Air,Sea,8832.875328441474,1692.5027457446145,80.83859804638215,19
GNB,PRT,Air,Sea,5089.664001494655,975.2720933781874,80.83818316706595,19
TUN,PHL,Air,Sea,15244.491274238233,2921.504245631883,80.83567242044376,76
SYC,ROU,Air,Sea,23370.847663789627,4488.895291323858,80.79275790120839,19
CPV,GRC,Air,Sea,7312.579684767377,1406.5488702704567,80.76535325556318,38
GHA,BOL,Air,Sea,15600.369794753631,3000.752995209958,80.76485984185385,19
MUS,GIN,Air,Sea,29344.90081559605,5650.1662588545305,80.74566244281999,19
GNQ,IRL,Air,Sea,20308.2416986492,3918.5171946515093,80.7047933898081,19
GNB,GBR,Air,Rail,6816.455425036922,1324.398231424425,80.5705729907674,57
MDG,LKA,Air,Sea,13148.754145266663,2559.5581971987885,80.53383484913522,19
MAR,JPN,Air,Sea,10656.548570840647,2076.8385323594466,80.51115219385132,228
GMB,JPN,Air,Sea,47128.91677777801,9186.821498618734,80.50703872118177,114
CPV,SLE,Air,Sea,3210.8076524708663,625.9844073103556,80.50383345671202,19
COD,CHL,Air,Sea,33748.14679165739,6614.157463722137,80.40142024818627,19
GNB,CPV,Air,Sea,2257.878653496954,443.2867794660772,80.36711234328186,19
ZAF,USA,Air,Sea,4685.214827353249,924.8233109633693,80.26081311012548,1900
NGA,CHL,Air,Sea,19890.92226839593,3935.2205603451002,80.21599749249611,38
GMB,PLW,Air,Sea,53865.12974323255,10671.85856713585,80.18781609177015,19
SYC,DEU,Air,Sea,27133.28448189653,5377.392706217846,80.18156368129456,114
MDG,POL,Air,Sea,11152.212726685451,2215.6936313803712,80.13225100989536,57
CPV,BHR,Air,Sea,15759.265372385096,3141.937203741204,80.06292089448021,19
CPV,CZE,Air,Sea,7940.948870677693,1584.059776008883,80.05200887442942,19
SWZ,MMR,Air,Rail,9449.247058020846,1885.1868261814866,80.04934345979159,38
MDG,MOZ,Air,Sea,5730.849723130666,1143.5216358202447,80.04621145089881,19
EGY,USA,Air,Sea,2654.5644129746565,530.0930475946982,80.0308839746448,475
LBY,ISL,Air,Road,7620.461636948807,1524.0784048068647,80.00018269999326,19
STP,SLV,Air,Sea,26946.236283680762,5393.453338321049,79.98439083833225,19
BWA,CHL,Air,Sea,25750.769429664542,5155.907669765278,79.97765587607746,19
CPV,ARE,Air,Sea,13706.30760917488,2749.005152026761,79.94350316356098,38
ETH,CHL,Air,Sea,30907.18756035497,6200.532597807834,79.93821797696879,19
MDG,SVN,Air,Sea,18095.060567345783,3632.8896731022046,79.92330747066913,19
STP,ISR,Air,Sea,15393.889968311812,3100.5485633631433,79.85857655377818,19
GAB,ROU,Air,Rail,8597.17450233021,1733.0778764351041,79.84130860708521,19
STP,AUT,Air,Sea,9147.378358650201,1845.6141313175192,79.82357284289856,19
SDN,SYC,Air,Sea,17137.352217794134,3473.5806177209943,79.73093758256138,19
ERI,JPN,Air,Sea,16179.11971080804,3281.582037601703,79.71717808967365,114
STP,ZWE,Air,Sea,6839.714481550429,1388.2728845599904,79.70276554226433,19
MAR,SLV,Air,Sea,14151.891008196479,2873.361343822635,79.6962728008685,38
SSD,CHL,Air,Sea,35299.88956701391,7178.526726052425,79.66416661892217,19
STP,LTU,Air,Sea,19317.18235191865,3940.1500195965355,79.60287402264345,19
COD,COM,Air,Sea,12938.263610599915,2640.3963341369235,79.59234396821432,19
MUS,PHL,Air,Sea,27897.90367768681,5708.6407320630005,79.53738460775867,38
